round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline,risk_discipline_clean,judge_score,leaderboard_proxy
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,2.2674278646563018,0.05939081615462653,-3.680260154714665,3,66.66666666666667,1022674.2786465631,22.0,100.0,True,87.0,29.00470128978354
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,10.243365613560119,0.14622135955077578,-1.701704905852841,3,100.0,1102433.6561356012,22.0,100.0,True,97.0,36.91510019361416
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,9.759047832774058,0.1273273963786215,-4.302458981511226,3,100.0,1097590.4783277407,22.0,100.0,True,88.0,36.18596463571516
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,3.1298285149293337,0.06569979778744477,-3.0408029216800525,4,50.0,1031298.2851492933,24.1,100.0,True,89.0,30.019749411570764
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,1.6605579606862264,0.017600748173980673,-7.903165239310727,3,66.66666666666667,1016605.5796068622,22.0,100.0,True,65.0,25.856953195282784
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,-0.8842144661413975,-0.018085412980180036,-2.968927096855034,3,33.333333333333336,991157.855338586,22.0,100.0,True,16.0,23.03144016016376
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,2.308408254796457,0.13128742544301455,-1.045307217697511,3,66.66666666666667,1023084.0825479645,21.999999999999996,100.0,True,97.0,31.459089695702893
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,4.946820670927798,0.0488821665121829,-8.836158894597467,3,100.0,1049468.206709278,22.0,100.0,True,81.0,29.581458961068982
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,1.1094005488566872,0.026158810983952112,-5.2937075698971,3,33.333333333333336,1011094.0054885669,22.0,100.0,True,54.0,26.290464797912723
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,0.051103895583959336,0.004600551837183445,-5.670411605384573,3,33.333333333333336,1000511.0389558397,22.0,100.0,True,26.0,24.41523857796026
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,3.4414565704577793,0.04541599225552811,-5.297475730440593,3,100.0,1034414.5657045778,22.0,100.0,True,84.0,28.885197852530762
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,0.25844054478660894,0.00823339586150081,-6.046374420846911,3,66.66666666666667,1002584.4054478661,22.0,100.0,True,23.0,24.68562201129863
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,-1.371743628156985,-0.03867473659840429,-4.848755668266557,3,33.333333333333336,986282.5637184301,22.0,100.0,True,10.0,21.37872928012991
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.5695849443502654,0.10742178306876714,-1.578157123581525,3,100.0,1005695.8494435026,22.0,100.0,True,50.0,30.161985892507957
